,App,Rating,Comment
0,albo-reemplaza-a-tu-banco,5,"Le doy 5 estrellas porque parece muy buena la App pero Vivo en Buenos Aires no la puedo usar, espero que pronto la tengamos por acá"
0,albo-reemplaza-a-tu-banco,1,Esta aplicación solo funciona en México?
0,albo-reemplaza-a-tu-banco,4,Me gusta la app y el servicio que ofrecen aunque estaría genial que los depósitos en Oxxo fueran instantáneos y las transferencias a otros bancos todos los días las 24 hrs.
1,albo-reemplaza-a-tu-banco,5,Ya era hora de que existiera algo así! Muyyyy confiable!!! Excelente atención y muy eficaz! Me ayuda a manejar mejor mi dinero! Cancele muuchas otras tarjetas!
2,albo-reemplaza-a-tu-banco,5,"Simplemente no existe banco que desarrolle una app tan buena como esta. Muy segura y fácil de usar. Si la van a solicitar les recomiendo que convenzan a uno o más amigos para que su experiencia sea aún mejor, pueden enviar dinero al instante como si no se tratara de dinero y se pueden dividir gastos (hasta con centavos)"
3,albo-reemplaza-a-tu-banco,5,"La verdad me convenció este servicio de tarjeta, la recomiendo totalmente."
4,albo-reemplaza-a-tu-banco,5,"Llevo 3 meses usando Albo y estoy encantando, puedes seguir muy bien todos tus gastos, la interfaz de la App es muy limpia, funciona con faceid perfecto, Super buen servicio al cliente, estoy muy feliz. 

Lo único ""malo es solo puedes transferir hasta $15,000 (750 USD aprox) por día.

De lejos la mejor opción fintech en México."
5,albo-reemplaza-a-tu-banco,5,"Ingresa este código en ajustes y obtén gratis $100mxn 😱

ALEXISFLMEY"
6,albo-reemplaza-a-tu-banco,5,"He de mencionar que yo también tuve duda al ver tantas reseñas malas, sin embargo le di el beneficio de la duda, el proceso de registro es muy sencillo y en general la app tiene todo en el lugar adecuado, incluso el area de chat por si tienes dudas es muy bueno ya que te responden en menos de 5 minutos. Es correcto que por el momento las disposiciones de efectivo son con comisión dependiendo del cajero del banco que utilicen y los depósitos con oxxo también son con cobro de comisión por parte de oxxo. Particularmente yo utilizo depósitos por SPEI y el dinero se ve reflejado de inmediato, si a ustedes les gustaría hacerlo de esa manera pero no tienen una cuenta con un banco, les recomiendo abrir una cuenta digital con Bancomer o Banco Azteca ambas la pueden abrir desde la app, sin costo de comisiones, pueden ocupar su infraestructura para depositar y retirar efectivo y de esa manera no sienten que se las va su dinero en comisiones con oxxo o por retirar efectivo de un cajero de otro banco"
7,albo-reemplaza-a-tu-banco,5,Es demasiado fácil poder crear una cuenta en comparación con los bancos convencionales.
8,albo-reemplaza-a-tu-banco,5,El servicio me ha parecido muy bueno en general y el tema de control de gastos en tiempo real en el app me ha funcionado muy bien.
9,albo-reemplaza-a-tu-banco,1,"Primero no está claro lo que piden para identificarte, me pidieron un extra y piden que lo mandes por canales NO SEGUROS. Después el soporte no es malo, si no lo que le sigue: no responden bien lo que les pides, prometen cosas y fechas que no cumplen.... 

En la web no detallan ningún proceso así como pretenden verificar las IFEs con un sistema diseñado para ver si puedes o no votar.....

Mejor abran una cuenta en un banco, no vale la pena perder el tiempo y el acceso al dinero."
10,albo-reemplaza-a-tu-banco,5,"La app sirve muy bien, la tarjeta me llego en menos de una semana, los spei son gratis! Y llegan en cuestión de minutos, muy buena si quieres empezar a ahorrar un dinero! Excelente app!"
11,albo-reemplaza-a-tu-banco,5,"Espero que todo salga muy bien con esta plataforma tienen mucho potencial y talento! Buen UI y buen desarrollo y en conjunto con una buena plantación estoy seguro va a llegar muy lejos, Mucho éxito !"
12,albo-reemplaza-a-tu-banco,5,No he tenido ningún problema con Albo. Felicidades !
13,albo-reemplaza-a-tu-banco,5,"He sido usuario del servicio durante más un de año, y durante este tiempo he tenido muy pocos inconvenientes que principalmente se deben a problemas externos a la plataforma, tal como el retraso en las transferencias SPEl de hace unos meses y que afectó en general a todos los bancos mexicanos.

El servicio cumple con lo que promete y no decepciona. El pago de servicios es sumamente simple. El dinero que deposites o que transfieras de otras cuentas siempre está disponible para pagos tanto en tiendas físicas como online, o bien para retiros en los cajeros. Por cierto, a los usuarios les sugiero consultar las comisiones de los diferentes cajeros, ya que van desde los 16 pesos que cobra Mifel, hasta los 35 pesos que cobra BBVA Bancomer. ¡Ojo con eso!

El soporte técnico es inmediato a través de la app (en horarios laborales, claro) y te resuelven todas tus dudas de forma amena. Quizá los plazos que dan para solución de algún problema no sean tan acertados, pero generalmente solucionan todo en un periodo breve. 

La aplicación presenta algunos bugs, pero es comprensible para un producto que considero que aún se encuentra en una etapa inicial. Aún así, la calidad y sencillez de la interfaz la vuelven única en Mexico, es intuitiva, clara y con un excelente diseño de interfaz. Sin mayor complejidad cómo las apps de los bancos tradicionales, que generalmente no informan en tiempo real el detalle de los movimientos realizados, ya que en muchas ocasiones hay que esperar horas o incluso días para que se vean reflejados los mismos.

Tengo mucha confianza en esta empresa porque siempre están implementando pequeños detalles en su aplicación y que demuestran que son congruentes con la calidad del servicio que tratan de vender. 

Quizá aún les falte mejorar en algunos aspectos para merecer las cinco estrellas como servicio, pero me gusta pensar que en realidad esto es el futuro de la banca nacional."
14,albo-reemplaza-a-tu-banco,5,"Es súper rápida, confiable y la verdad nunca requiero atención al cliente ya que es muy fácil de usarla. 
Me gusta mucho ver en el momento con cuanto dinero cuéntame y cuánto gasto. 🙌🏻"
15,albo-reemplaza-a-tu-banco,5,"Gracias por simplificar mi vida, es muy muy cómodo usar todo a través de una sola app. Y pensar que nunca voy a un banco!!!!! La gente no da crédito cuando les cuento y siempre me aseguro de recomendarlos. Mil gracias por todo albo <3 nadie como ustedes"
16,albo-reemplaza-a-tu-banco,5,"Muy buena aplicación. Pago mis servicios y hago transferencias a mis otras cuentas. Y siempre me responden rápido mis dudas.....saludos desde Monterrey, n.l."
17,albo-reemplaza-a-tu-banco,5,"Muy buena app, la recomiendo."
18,albo-reemplaza-a-tu-banco,5,"Un excelente servicio, a mi me ha servido mucho para mi negocio de marketing digital, ya que me permite realizar transacciones online de manera rápida y sencilla. Por otro lado, la atención al cliente por medio de la app es de lo mejor. 100% recomendada."
19,albo-reemplaza-a-tu-banco,5,"Se me hace una una buena idea  por parte de los que inventaron Albo , por el momento no me a fallado y ella servicio atención que tiene la app es buena , lo que no me gusta es que como que varias persona o más bien diferentes personas te contestan , pero esta muy bien , te resuelve todas tus preguntas en cuestión de minutos 
2- lo que me gusta es que puedes ir ir juntando dinero sin que te cobren alguna mensualidad como en otras tarjetas 
3- deberían de poner más opciones de pagos , como recargas , gas entre otros 
4-deberían de tener más métodos para poder deposita ala cuenta , ya que con Oxxo se tarda 24 Hrs pero si llega son problema.
En fin , muy buena por parte de los desarrolladores 5 estrellas 👌🏽"
